2023-01-03 21:40:29 status half-installed libpam0g:amd64 1.4.0-11ubuntu2
2023-01-03 21:40:29 status unpacked libpam0g:amd64 1.4.0-11ubuntu2
2023-01-03 21:40:29 install libpcre2-8-0:amd64 <none> 10.39-3build1
2023-01-03 21:40:29 status half-installed libpcre2-8-0:amd64 10.39-3build1
2023-01-03 21:40:29 status unpacked libpcre2-8-0:amd64 10.39-3build1
2023-01-03 21:40:29 install libpcre3:amd64 <none> 2:8.39-13build5
2023-01-03 21:40:29 status half-installed libpcre3:amd64 2:8.39-13build5
2023-01-03 21:40:29 status unpacked libpcre3:amd64 2:8.39-13build5
2023-01-03 21:40:29 install libprocps8:amd64 <none> 2:3.3.17-6ubuntu2
2023-01-03 21:40:29 status half-installed libprocps8:amd64 2:3.3.17-6ubuntu2
2023-01-03 21:40:29 status unpacked libprocps8:amd64 2:3.3.17-6ubuntu2
2023-01-03 21:40:29 install libselinux1:amd64 <none> 3.3-1build2
2023-01-03 21:40:29 status half-installed libselinux1:amd64 3.3-1build2
2023-01-03 21:40:29 status unpacked libselinux1:amd64 3.3-1build2
2023-01-03 21:40:29 install libsemanage-common:all <none> 3.3-1build2
2023-01-03 21:40:29 status half-installed libsemanage-common:all 3.3-1build2
2023-01-03 21:40:29 status unpacked libsemanage-common:all 3.3-1build2
2023-01-03 21:40:29 install libsemanage2:amd64 <none> 3.3-1build2
2023-01-03 21:40:29 status half-installed libsemanage2:amd64 3.3-1build2
2023-01-03 21:40:29 status unpacked libsemanage2:amd64 3.3-1build2
2023-01-03 21:40:29 install libsepol2:amd64 <none> 3.3-1build1
2023-01-03 21:40:29 status half-installed libsepol2:amd64 3.3-1build1
2023-01-03 21:40:29 status unpacked libsepol2:amd64 3.3-1build1
2023-01-03 21:40:29 install libsmartcols1:amd64 <none> 2.37.2-4ubuntu3
2023-01-03 21:40:29 status half-installed libsmartcols1:amd64 2.37.2-4ubuntu3
2023-01-03 21:40:29 status unpacked libsmartcols1:amd64 2.37.2-4ubuntu3
2023-01-03 21:40:29 install libss2:amd64 <none> 1.46.5-2ubuntu1
2023-01-03 21:40:29 status half-installed libss2:amd64 1.46.5-2ubuntu1
2023-01-03 21:40:29 status unpacked libss2:amd64 1.46.5-2ubuntu1
2023-01-03 21:40:29 install libssl3:amd64 <none> 3.0.2-0ubuntu1
2023-01-03 21:40:29 status half-installed libssl3:amd64 3.0.2-0ubuntu1
2023-01-03 21:40:30 status unpacked libssl3:amd64 3.0.2-0ubuntu1
2023-01-03 21:40:30 install libsystemd0:amd64 <none> 249.11-0ubuntu3
2023-01-03 21:40:30 status half-installed libsystemd0:amd64 249.11-0ubuntu3
